time,.data
2020/04/03/19:47:25.137796,"(-10.104721069335938, -0.5638275146484375, -0.475250244140625)"
2020/04/03/19:47:25.242126,"(-10.131057739257812, -0.7613525390625, -0.0682373046875)"
2020/04/03/19:47:25.348703,"(-9.990997314453125, -0.676361083984375, -0.48004150390625)"
2020/04/03/19:47:25.450672,"(-10.114303588867188, -0.719451904296875, -0.18914794921875)"
2020/04/03/19:47:25.557502,"(-9.89044189453125, -0.6739654541015625, -0.4716644287109375)"
2020/04/03/19:47:25.659598,"(-10.134658813476562, -0.6871337890625, -0.1652069091796875)"
2020/04/03/19:47:25.763358,"(-10.494979858398438, -0.5734100341796875, -0.6057281494140625)"
2020/04/03/19:47:25.869305,"(-9.920379638671875, -0.56024169921875, -0.4345550537109375)"
2020/04/03/19:47:25.972181,"(-10.074798583984375, -0.60693359375, -0.5351104736328125)"
2020/04/03/19:47:26.073492,"(-10.6123046875, -0.533905029296875, -0.3770904541015625)"
2020/04/03/19:47:26.176791,"(-10.248382568359375, -0.4249725341796875, -0.6308746337890625)"
2020/04/03/19:47:26.282876,"(-10.486602783203125, -0.5626373291015625, -0.3770904541015625)"
2020/04/03/19:47:26.385492,"(-10.457870483398438, -0.4405364990234375, -0.5626373291015625)"
2020/04/03/19:47:26.489563,"(-10.262741088867188, -0.4561004638671875, -0.4477081298828125)"
2020/04/03/19:47:26.594356,"(-10.285491943359375, -0.470458984375, -0.6045379638671875)"
2020/04/03/19:47:26.698764,"(-10.081985473632812, -0.6308746337890625, -0.45849609375)"
2020/04/03/19:47:26.802395,"(-10.244781494140625, -0.36871337890625, -0.5363006591796875)"
2020/04/03/19:47:26.909289,"(-10.442306518554688, -0.5530548095703125, -0.3555450439453125)"
2020/04/03/19:47:27.011889,"(-10.550048828125, -0.6631927490234375, -0.354339599609375)"
2020/04/03/19:47:27.118906,"(-10.010162353515625, -0.4932098388671875, -0.34356689453125)"
2020/04/03/19:47:27.223894,"(-10.055648803710938, -0.623687744140625, -0.2837066650390625)"
2020/04/03/19:47:27.325173,"(-9.87249755859375, -0.72784423828125, -0.401031494140625)"
2020/04/03/19:47:27.432210,"(-9.951492309570312, -0.5734100341796875, -0.1987152099609375)"
2020/04/03/19:47:27.533818,"(-9.546875, -0.6727752685546875, -0.295684814453125)"
2020/04/03/19:47:27.637929,"(-10.176559448242188, -0.7422027587890625, -0.2094879150390625)"
2020/04/03/19:47:27.748015,"(-10.034103393554688, -0.64044189453125, -0.173583984375)"
2020/04/03/19:47:27.847960,"(-10.22802734375, -0.629669189453125, -0.3136444091796875)"
2020/04/03/19:47:27.947191,"(-10.170562744140625, -0.6500244140625, -0.227447509765625)"
2020/04/03/19:47:28.050327,"(-10.155014038085938, -0.670379638671875, -0.284912109375)"
2020/04/03/19:47:28.156067,"(-9.902420043945312, -0.6093292236328125, -0.1544189453125)"
2020/04/03/19:47:28.258977,"(-10.123886108398438, -0.633270263671875, -0.2825164794921875)"
2020/04/03/19:47:28.363688,"(-9.757568359375, -0.60333251953125, -0.3363800048828125)"
2020/04/03/19:47:28.467441,"(-9.96466064453125, -0.4561004638671875, -0.475250244140625)"
2020/04/03/19:47:28.572429,"(-10.21246337890625, -0.4932098388671875, -0.3675079345703125)"
2020/04/03/19:47:28.677386,"(-10.170562744140625, -0.4776458740234375, -0.5458831787109375)"
2020/04/03/19:47:28.782194,"(-10.230422973632812, -0.565032958984375, -0.533905029296875)"
