time,.x,.y,.z
2020/04/03/19:47:13.730155,-0.00183019627757,-0.000997247995079,0.000755107829182
2020/04/03/19:47:13.762954,-0.000824425078169,-0.00162518956178,-4.92336081322e-05
2020/04/03/19:47:13.796000,0.000182141179903,0.00200528172287,-6.14621815896e-05
2020/04/03/19:47:13.826959,-0.00183019627851,-0.000997248049426,0.000755107829182
2020/04/03/19:47:13.859138,0.000140044817761,-2.41440018775e-06,-4.95181515187e-05
2020/04/03/19:47:13.889109,0.000322189203821,0.00200286674322,-0.000110980149733
2020/04/03/19:47:13.919192,1.38424905802e-05,0.000368780859912,-1.19445933067e-05
2020/04/03/19:47:13.950238,0.00183019475602,0.000997249071638,-0.00075510782918
2020/04/03/19:47:13.979891,-0.000684381952625,-0.00162760403189,-9.87514290629e-05
2020/04/03/19:47:14.009292,-1.38408694031e-05,-0.000368780036811,1.19437828758e-05
2020/04/03/19:47:14.059113,0.0,0.0,0.0
2020/04/03/19:47:14.098445,0.00201233932987,0.00300253315293,-0.000816569512772
2020/04/03/19:47:14.139326,-0.00166189562705,0.000639245314264,0.000705588292655
2020/04/03/19:47:14.169191,0.00167630907829,0.000630880951116,-0.00069364577674
2020/04/03/19:47:14.199394,0.0,0.0,0.0
2020/04/03/19:47:14.249324,0.00183019514527,0.00099725153968,-0.000755107331182
2020/04/03/19:47:14.291770,-0.0017880957986,0.00101044330375,0.000743163301106
2020/04/03/19:47:14.335690,-0.0018301947847,-0.00099725073486,0.000755107829182
2020/04/03/19:47:14.377198,0.00183019514527,0.00099725153968,-0.000755107331182
2020/04/03/19:47:14.408296,0.00183019475602,0.000997249071638,-0.00075510782918
2020/04/03/19:47:14.438191,2.82582385061e-05,0.00163891590476,-2.30331009469e-10
2020/04/03/19:47:14.467723,0.0,0.0,0.0
2020/04/03/19:47:14.496900,0.0,0.0,0.0
2020/04/03/19:47:14.526289,-0.000182144418979,-0.00200528114457,6.14622827673e-05
2020/04/03/19:47:14.556282,-0.000656126364215,1.13127300034e-05,-9.87511964138e-05
2020/04/03/19:47:14.596350,-0.00183019627757,-0.000997247995079,0.000755107829182
2020/04/03/19:47:14.638053,0.00022457714391,0.00446684495228,-6.14612703062e-05
2020/04/03/19:47:14.668635,-0.00201233238899,-0.00300253499353,0.000816568543668
2020/04/03/19:47:14.698857,0.0021523848295,0.00300011802789,-0.000866086096009
2020/04/03/19:47:14.729486,0.00201233483511,0.00300253616537,-0.000816569512772
2020/04/03/19:47:14.758680,0.00183019514527,0.00099725153968,-0.000755107331182
2020/04/03/19:47:14.787970,0.0,0.0,0.0
2020/04/03/19:47:14.817128,0.000656126153569,-1.13127263715e-05,9.87516593934e-05
2020/04/03/19:47:14.856899,-0.000558519932079,-0.00245266103405,-0.000148269464974
2020/04/03/19:47:14.896703,-0.0018301947847,-0.00099725073486,0.000755107829182
2020/04/03/19:47:14.928123,0.00234662225617,0.00144221207706,-0.000594893958622
2020/04/03/19:47:14.959735,0.000182144229082,0.00200528116208,-6.1462063547e-05
2020/04/03/19:47:14.990552,0.000182141181777,0.00200528183157,-6.14621815896e-05
2020/04/03/19:47:15.031716,-0.0018301947847,-0.00099725073486,0.000755107829182
2020/04/03/19:47:15.072545,0.000838270702644,0.00199396868195,3.72890801559e-05
2020/04/03/19:47:15.103824,-2.8255785069e-05,-0.00163891594706,2.30331009473e-10
2020/04/03/19:47:15.136853,0.0019702417031,0.000994831603641,-0.000804624530459
2020/04/03/19:47:15.168619,0.000182141181777,0.00200528183157,-6.14621815896e-05
2020/04/03/19:47:15.199362,0.00262636979371,0.000983519135452,-0.000705872068416
2020/04/03/19:47:15.231597,0.0,0.0,0.0
2020/04/03/19:47:15.262809,0.00150800852022,-0.00100561799975,-0.000644127394894
