time,.data
2020/04/03/19:47:26.053762,"(38.5101318359375, -18.3746337890625, 17.41180419921875)"
2020/04/03/19:47:26.156070,"(37.11395263671875, -17.657470703125, 16.8487548828125)"
2020/04/03/19:47:26.254778,"(37.75482177734375, -17.8314208984375, 15.863037109375)"
2020/04/03/19:47:26.354544,"(37.9608154296875, -18.53179931640625, 17.12188720703125)"
2020/04/03/19:47:26.447636,"(37.738037109375, -18.34869384765625, 16.180419921875)"
2020/04/03/19:47:26.546309,"(37.8265380859375, -18.3349609375, 14.90631103515625)"
2020/04/03/19:47:26.645866,"(37.420654296875, -17.4896240234375, 16.51611328125)"
2020/04/03/19:47:26.746559,"(38.26751708984375, -18.3624267578125, 16.78924560546875)"
2020/04/03/19:47:26.849839,"(37.9852294921875, -18.695068359375, 16.802978515625)"
2020/04/03/19:47:26.950666,"(37.933349609375, -18.0206298828125, 17.44232177734375)"
2020/04/03/19:47:27.048843,"(38.531494140625, -18.19305419921875, 17.09442138671875)"
2020/04/03/19:47:27.149380,"(37.1337890625, -17.486572265625, 16.52984619140625)"
2020/04/03/19:47:27.242805,"(37.451171875, -18.34564208984375, 16.1956787109375)"
2020/04/03/19:47:27.342204,"(38.02947998046875, -18.68743896484375, 16.16668701171875)"
2020/04/03/19:47:27.441718,"(38.00506591796875, -18.524169921875, 16.485595703125)"
2020/04/03/19:47:27.545484,"(38.10882568359375, -17.9931640625, 14.892578125)"
2020/04/03/19:47:27.643300,"(37.762451171875, -18.51348876953125, 15.86151123046875)"
2020/04/03/19:47:27.747689,"(38.00506591796875, -18.524169921875, 16.485595703125)"
2020/04/03/19:47:27.845022,"(37.84332275390625, -17.81768798828125, 14.58892822265625)"
2020/04/03/19:47:27.948345,"(38.287353515625, -18.182373046875, 16.47186279296875)"
2020/04/03/19:47:28.046429,"(38.02947998046875, -18.68743896484375, 16.16668701171875)"
2020/04/03/19:47:28.146327,"(38.24310302734375, -18.1884765625, 17.108154296875)"
2020/04/03/19:47:28.247542,"(38.3148193359375, -18.6920166015625, 16.15142822265625)"
2020/04/03/19:47:28.349894,"(37.7349853515625, -18.0023193359375, 16.18194580078125)"
2020/04/03/19:47:28.448616,"(38.24310302734375, -18.1884765625, 17.108154296875)"
2020/04/03/19:47:28.549661,"(38.531494140625, -18.19305419921875, 17.09442138671875)"
2020/04/03/19:47:28.650081,"(38.55438232421875, -18.36700439453125, 16.7755126953125)"
2020/04/03/19:47:28.751927,"(38.00506591796875, -18.524169921875, 16.485595703125)"
2020/04/03/19:47:28.851920,"(37.98065185546875, -18.359375, 16.80450439453125)"
2020/04/03/19:47:28.953404,"(38.6016845703125, -18.695068359375, 16.1376953125)"
2020/04/03/19:47:29.052841,"(38.55438232421875, -18.36700439453125, 16.7755126953125)"
2020/04/03/19:47:29.155093,"(37.451171875, -18.34564208984375, 16.1956787109375)"
2020/04/03/19:47:29.255580,"(37.67547607421875, -18.52874755859375, 17.1356201171875)"
2020/04/03/19:47:29.355857,"(38.55133056640625, -18.0206298828125, 16.7755126953125)"
2020/04/03/19:47:29.455974,"(38.287353515625, -18.182373046875, 16.47186279296875)"
2020/04/03/19:47:29.557482,"(38.24310302734375, -18.1884765625, 17.108154296875)"
